"AFG";"2009";"14483";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"AGO";"2009";"75493";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"ALB";"2009";"12015";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"AND";"2008";"3712";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"ARE";"2009";"230252";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"ARG";"2009";"307155";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"ARM";"2009";"8714";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"ATG";"2009";"1132";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"AUS";"2009";"924843";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"AUT";"2009";"381084";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"AZE";"2009";"43019";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BDI";"2009";"1325";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BEL";"2009";"471161";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BEN";"2009";"6656";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BFA";"2009";"8141";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BGD";"2009";"89360";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BGR";"2009";"48722";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BHR";"2009";"20595";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BHS";"2007";"7234";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BIH";"2009";"17042";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BLR";"2009";"49037";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BLZ";"2009";"1354";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BOL";"2009";"17340";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BRA";"2009";"1594490";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BRB";"2009";"3595";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BRN";"2006";"11471";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BTN";"2009";"1277";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"BWA";"2009";"11823";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CAF";"2009";"2006";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CAN";"2009";"1336068";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CHE";"2009";"491924";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CHL";"2009";"163669";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CHN";"2009";"4985461";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CIV";"2009";"23304";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CMR";"2009";"22186";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"COD";"2009";"10575";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"COG";"2009";"9580";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"COL";"2009";"234045";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"COM";"2009";"535";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CPV";"2009";"1549";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CRI";"2009";"29240";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CUB";"2008";"62704";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CYP";"2009";"25039";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"CZE";"2009";"190274";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"DEU";"2009";"3330032";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"DJI";"2009";"1049";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"DMA";"2009";"378";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"DNK";"2009";"309596";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"DOM";"2009";"46788";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
"DZA";"2009";"140577";"http://aims.fao.org/aos/geopolitical.owl";"Estimated";"millions of US dollars"
