"AFG";"2010";"0.349";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"AGO";"2010";"0.403";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"ALB";"2010";"0.719";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"AND";"2010";"0.824";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"ARE";"2010";"0.815";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"ARG";"2010";"0.775";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"ARM";"2010";"0.695";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"AUS";"2010";"0.937";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"AUT";"2010";"0.851";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"AZE";"2010";"0.713";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BDI";"2010";"0.282";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BEL";"2010";"0.867";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BEN";"2010";"0.435";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BFA";"2010";"0.305";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BGD";"2010";"0.469";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BGR";"2010";"0.743";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BHR";"2010";"0.801";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BHS";"2010";"0.784";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BIH";"2010";"0.71";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BLR";"2010";"0.732";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BLZ";"2010";"0.694";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BOL";"2010";"0.643";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BRA";"2010";"0.699";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BRB";"2010";"0.788";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BRN";"2010";"0.805";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"BWA";"2010";"0.633";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CAF";"2010";"0.315";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CAN";"2010";"0.888";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CHE";"2010";"0.874";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CHL";"2010";"0.783";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CHN";"2010";"0.663";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CIV";"2010";"0.397";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CMR";"2010";"0.46";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"COD";"2010";"0.239";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"COG";"2010";"0.489";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"COL";"2010";"0.689";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"COM";"2010";"0.428";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CPV";"2010";"0.534";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CRI";"2010";"0.725";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CYP";"2010";"0.81";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"CZE";"2010";"0.841";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"DEU";"2010";"0.885";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"DJI";"2010";"0.402";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"DNK";"2010";"0.866";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"DOM";"2010";"0.663";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"DZA";"2010";"0.677";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"ECU";"2010";"0.695";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"EGY";"2010";"0.62";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"ESP";"2010";"0.863";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"EST";"2010";"0.812";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"ETH";"2010";"0.328";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"FIN";"2010";"0.871";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"FJI";"2010";"0.669";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"FRA";"2010";"0.872";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"FSM";"2010";"0.614";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"GAB";"2010";"0.648";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"GBR";"2010";"0.849";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"GEO";"2010";"0.698";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"GHA";"2010";"0.467";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"GIN";"2010";"0.34";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"GMB";"2010";"0.39";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"GNB";"2010";"0.289";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
"GNQ";"2010";"0.538";"http://aims.fao.org/aos/geopolitical.owl";"Calculated"
